,city,links,link_type
81,san mateo,['http://www.cityofsanmateo.org/index.aspx?NID=164'],other
82,san mateo county,['http://library.municode.com/index.aspx?clientId=16029'],municode
83,san pablo,['http://www.codepublishing.com/ca/sanpablo/'],codepub
84,san rafael,['http://www.municode.com/Resources/gateway.asp?pid=16610&sid=5'],municode
85,san ramon,['http://library.municode.com/index.aspx?clientId=16611'],municode
86,santa clara,['http://www.codepublishing.com/ca/santaclara/frameless/'],codepub
87,santa clara county,['http://library.municode.com/index.aspx?clientId=13790'],municode
88,santa rosa,['http://qcode.us/codes/santarosa/'],qcode
89,saratoga,['http://www.municode.com/Resources/gateway.asp?pid=16616&sid=5'],municode
90,sausalito,['http://www.ci.sausalito.ca.us/Index.aspx?page=121'],other
91,sebastopol,['http://ci.sebastopol.ca.us/page/municipal-code-city-clerk'],other
92,solano county,['http://www.solanocounty.com/hpl/county_code.asp'],other
93,sonoma,['http://codepublishing.com/ca/sonoma/'],codepub
94,sonoma county,['http://www.municode.com/Resources/gateway.asp?pid=16331&sid=5'],municode
95,south san francisco,['http://qcode.us/codes/southsanfrancisco/'],qcode
96,suisun city,['http://www.municode.com/Resources/gateway.asp?pid=16647&sid=5'],municode
97,sunnyvale,['http://qcode.us/codes/sunnyvale/'],qcode
98,tiburon,['http://library.municode.com/index.aspx?clientId=16657'],municode
99,union city,['http://qcode.us/codes/unioncity/'],qcode
100,vacaville,['http://www.codepublishing.com/ca/vacaville/'],codepub
101,vallejo,['http://library.municode.com/index.aspx?clientID=16106&stateID=5&statename=California'],municode
102,walnut creek,['http://www.codepublishing.com/ca/walnutcreek/'],codepub
103,windsor,['http://www.municode.com/Resources/gateway.asp?pid=16702&sid=5'],municode
104,woodside,['http://www.amlegal.com/woodside_ca/'],amlegal
105,yountville,['http://qcode.us/codes/yountville/'],qcode
106,san jose,['https://library.municode.com/ca/san_jose/codes/code_of_ordinances'],municode
107,saint helena,['https://www.codepublishing.com/CA/StHelena/'],codepub
